Jugador;Acciones;UltimoNivel;Tiempo;Puntaje;ObjetivoJuegoClaro;ObjetivoNivelClaro;ObjetivoPuzleClaro;RetroProgresoAdecuado;RetroAccionesAdecuadas;RetroEfectosAccionesOportuna;RetroRecibidaProgresoAdecuada;NivelDesafioAdecuado;NivelJuegoVariaba;NivelNuevosAdecuados;NivelDiversaDificultad;DisfruteExperiencia;DisfruteResolverDesafio;MotivacionResolverPuzle;InteraccionJugadores;InterraccionUtilDesafios;InteraccionAyudaResolverJuego;ControlAccionesJuego;ControlExitoJuego;ControlAvanceJuego
195160872;34;Reflexion;380;183820;5;5;5;3;3;3;3;5;5;5;5;5;5;5;4;5;5;5;5;5
198302783;29;EnergiaCinetica;644;19330;4;4;5;5;5;4;3;4;5;4;4;3;3;3;4;5;2;4;4;3
194218346;13;Densidad;369;40220;3;4;3;3;3;3;3;5;4;5;4;4;3;2;3;4;4;4;1;2
195254990;18;EnergiaCinetica;427;31820;4;4;3;4;4;3;2;2;4;4;4;3;3;2;2;3;2;5;5;4
197299339;40;Reflexion;463;112670;5;4;4;4;4;4;4;5;5;4;5;5;4;4;4;4;4;4;4;4
172672884;173;Reflexion;1126;152540;5;4;4;4;4;4;3;4;5;5;5;5;5;5;4;4;4;4;3;3
193167357;23;EnergiaCinetica;497;71730;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4
192327822;43;EnergiaCinetica;652;-4450;4;4;4;2;2;2;1;2;3;5;5;1;1;2;4;4;4;4;1;1
194218346;13;Densidad;369;40220;5;5;5;5;5;5;5;5;5;5;5;3;4;3;3;3;5;5;5;4
197931353;87;EnergiaCinetica;566;46880;5;5;5;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;3
196067191;13;Logica;99;9260;5;4;3;5;5;5;5;5;5;2;5;5;4;5;4;4;4;5;5;1
